epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4477,2.21166,3.47074,1.80489,0.16864,0.25912,0.15667,0.10528,1.8312,2.39319,1.33054,6.668e-05,6.668e-05,6.668e-05
2,194.693,1.58306,1.57772,1.34572,0.7059,0.7141,0.73943,0.41302,1.26998,1.07783,1.00819,0.000148545,0.000148545,0.000148545
3,290.879,1.40345,1.22048,1.14927,0.7779,0.70985,0.73488,0.37602,1.35372,1.20374,1.00909,0.000228759,0.000228759,0.000228759
4,388.934,1.35897,1.13627,1.10153,0.72053,0.6686,0.69746,0.40192,1.29145,1.26551,0.98765,0.000307323,0.000307323,0.000307323
5,485.365,1.30346,1.02586,1.07363,0.74642,0.71935,0.72588,0.39612,1.37603,1.34546,1.0224,0.000384237,0.000384237,0.000384237
6,575.824,1.28145,0.96761,1.07758,0.75502,0.71829,0.73933,0.41484,1.32197,1.12541,0.99434,0.0004595,0.0004595,0.0004595
7,670.769,1.21312,0.92893,1.04956,0.74502,0.74018,0.75214,0.42327,1.2955,1.26307,0.99303,0.000533113,0.000533113,0.000533113
8,765.016,1.2685,0.97895,1.09578,0.71596,0.81576,0.83589,0.44884,1.26184,1.28529,0.99405,0.000605076,0.000605076,0.000605076
9,861.262,1.19851,0.85388,1.02386,0.70232,0.8263,0.86418,0.46585,1.26458,1.48525,0.97535,0.000675388,0.000675388,0.000675388
10,956.554,1.2641,0.90674,1.062,0.76242,0.87381,0.87776,0.48011,1.25754,1.26444,0.9837,0.00074405,0.00074405,0.00074405
11,1051.02,1.24556,0.92674,1.07721,0.79827,0.8727,0.88358,0.46641,1.27948,1.43595,0.99599,0.000811062,0.000811062,0.000811062
12,1144.66,1.2429,0.89327,1.04703,0.81203,0.85616,0.84314,0.43211,1.38661,1.39277,1.02537,0.000876424,0.000876424,0.000876424
