epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,1237.62,1.32867,0.93858,1.10804,0.72022,0.8659,0.84712,0.42577,1.34304,1.47431,1.00865,0.000940135,0.000940135,0.000940135
14,1333.58,1.23881,0.87705,1.05336,0.79089,0.85324,0.89237,0.46856,1.30416,1.34292,1.01203,0.0010022,0.0010022,0.0010022
15,1430.35,1.21735,0.91851,1.05898,0.84593,0.86417,0.86861,0.45285,1.38156,1.0982,1.03209,0.00106261,0.00106261,0.00106261
16,1523.18,1.26907,0.89647,1.05888,0.83615,0.86486,0.88082,0.45355,1.36841,1.17733,1.02452,0.00112137,0.00112137,0.00112137
17,1618.43,1.18809,0.84043,1.04031,0.72438,0.83872,0.82008,0.438,1.37482,1.1678,1.04629,0.00117848,0.00117848,0.00117848
18,1712.83,1.25122,0.87005,1.06742,0.80417,0.84731,0.86876,0.4672,1.35154,1.07842,1.03186,0.00123394,0.00123394,0.00123394
19,1808.22,1.2188,0.8492,1.06454,0.74689,0.91065,0.90728,0.50165,1.27363,1.04834,1.01941,0.00128774,0.00128774,0.00128774
20,3534.79,1.23283,0.84306,1.08127,0.87474,0.88367,0.89406,0.47598,1.39061,0.86755,1.02767,0.0013399,0.0013399,0.0013399
21,3584.65,1.23595,0.85706,1.0663,0.79416,0.84602,0.85579,0.45519,1.40049,0.86558,1.04103,0.00133693,0.00133693,0.00133693
22,3643.06,1.23369,0.81667,1.05522,0.7885,0.89026,0.86519,0.45096,1.42888,0.91292,1.07048,0.00132043,0.00132043,0.00132043
23,3707.61,1.24047,0.88173,1.07786,0.86375,0.89944,0.89297,0.49473,1.3349,0.90396,1.0218,0.00130393,0.00130393,0.00130393
24,3772.04,1.20226,0.88943,1.04564,0.82105,0.9005,0.89736,0.46429,1.3857,0.88455,1.05638,0.00128742,0.00128742,0.00128742
25,3837.19,1.17516,0.86236,1.04375,0.86886,0.88834,0.89908,0.47111,1.36042,0.91815,1.05951,0.00127092,0.00127092,0.00127092
26,3901.54,1.17368,0.85202,1.05897,0.87969,0.86362,0.90361,0.49253,1.30971,0.87403,1.03292,0.00125442,0.00125442,0.00125442
27,3965.41,1.19557,0.84024,1.04417,0.85254,0.90294,0.88204,0.50427,1.29221,0.7632,1.02463,0.00123791,0.00123791,0.00123791
28,4027.5,1.15711,0.80205,1.04262,0.88471,0.92158,0.9006,0.50787,1.25632,0.8091,1.02742,0.00122141,0.00122141,0.00122141
29,4089.32,1.16558,0.80799,1.04591,0.92024,0.93661,0.93679,0.52794,1.23945,0.78825,1.01451,0.00120491,0.00120491,0.00120491
30,4152.75,1.16967,0.8082,1.02289,0.90538,0.93237,0.92907,0.53144,1.2207,0.7704,1.00542,0.0011884,0.0011884,0.0011884
31,4216.9,1.17303,0.79946,1.05104,0.90274,0.91758,0.92665,0.53603,1.2197,0.76561,1.02823,0.0011719,0.0011719,0.0011719
32,4281.56,1.17577,0.78671,1.05395,0.89476,0.92655,0.92018,0.52899,1.22251,0.74258,0.99586,0.0011554,0.0011554,0.0011554
33,4346.3,1.13335,0.77538,1.03195,0.91807,0.91857,0.92197,0.53409,1.24108,0.7291,0.99381,0.00113889,0.00113889,0.00113889
34,4411.04,1.13785,0.74417,1.01795,0.90337,0.92116,0.92264,0.53631,1.23908,0.73531,1.00127,0.00112239,0.00112239,0.00112239
35,4475.62,1.22169,0.82956,1.08816,0.92088,0.92157,0.92697,0.54601,1.21298,0.72854,0.99942,0.00110589,0.00110589,0.00110589
36,4540.28,1.15506,0.76174,1.02541,0.8703,0.93545,0.92146,0.53959,1.20038,0.71583,0.98625,0.00108938,0.00108938,0.00108938
37,4604.27,1.18614,0.81605,1.05552,0.89146,0.94438,0.9319,0.53927,1.20571,0.70763,1.00677,0.00107288,0.00107288,0.00107288
38,4668.32,1.15145,0.78407,1.03485,0.92132,0.93849,0.93926,0.54414,1.19493,0.69703,0.97884,0.00105638,0.00105638,0.00105638
39,4732.35,1.15755,0.78017,1.02603,0.91688,0.94909,0.94387,0.54691,1.18857,0.68101,0.97271,0.00103987,0.00103987,0.00103987
40,4797.16,1.13824,0.79512,1.03349,0.93297,0.93903,0.94693,0.54819,1.22756,0.6587,0.99864,0.00102337,0.00102337,0.00102337
41,4860.92,1.14882,0.75577,1.0437,0.935,0.93869,0.94923,0.55229,1.21958,0.64774,0.99888,0.00100687,0.00100687,0.00100687
42,4925.17,1.1233,0.75196,1.01651,0.94112,0.91948,0.95214,0.55661,1.19447,0.64764,0.98111,0.000990365,0.000990365,0.000990365
43,4989.08,1.1589,0.82045,1.05384,0.93222,0.9349,0.95732,0.55402,1.21144,0.65522,0.97473,0.000973861,0.000973861,0.000973861
44,5053.16,1.17377,0.76037,1.03366,0.92753,0.93604,0.94112,0.54154,1.2436,0.66213,0.98691,0.000957358,0.000957358,0.000957358
45,5117.47,1.12067,0.73723,1.02972,0.92337,0.94444,0.93706,0.54757,1.20545,0.65479,0.97039,0.000940855,0.000940855,0.000940855
46,5181.03,1.10703,0.74568,1.02665,0.92053,0.94563,0.94654,0.55923,1.1694,0.66363,0.96264,0.000924352,0.000924352,0.000924352
47,5244.72,1.09047,0.72584,1.02054,0.92506,0.94429,0.95226,0.54866,1.19556,0.6746,0.97328,0.000907848,0.000907848,0.000907848
48,5309.45,1.13569,0.76883,1.04681,0.93741,0.95231,0.94513,0.54647,1.24007,0.67368,0.99122,0.000891345,0.000891345,0.000891345
49,5373.64,1.07085,0.70974,0.99628,0.92494,0.95128,0.93949,0.54778,1.22141,0.6668,0.98388,0.000874842,0.000874842,0.000874842
50,5437.47,1.11272,0.73462,1.02222,0.90797,0.94322,0.93213,0.54442,1.21984,0.66942,0.98422,0.000858338,0.000858338,0.000858338
51,5501.19,1.07215,0.68549,0.99951,0.90438,0.93654,0.92482,0.54615,1.18576,0.65124,0.98278,0.000841835,0.000841835,0.000841835
52,5565.1,1.07541,0.70098,0.99772,0.90441,0.94587,0.93016,0.55221,1.20884,0.64068,0.99545,0.000825332,0.000825332,0.000825332
53,5628.77,1.10718,0.72224,1.0172,0.90294,0.93832,0.92867,0.54855,1.23304,0.64267,1.00151,0.000808828,0.000808828,0.000808828
54,5693.42,1.05404,0.676,0.98438,0.89781,0.93919,0.93299,0.54179,1.23375,0.65602,1.00452,0.000792325,0.000792325,0.000792325
55,5756.88,1.0812,0.70181,1.01624,0.89316,0.93838,0.93316,0.55908,1.17858,0.64405,0.9768,0.000775822,0.000775822,0.000775822
56,5820.07,1.10531,0.70773,1.02315,0.91903,0.94371,0.94402,0.547,1.18819,0.66981,0.97474,0.000759318,0.000759318,0.000759318
57,5883.69,1.1117,0.74095,1.02508,0.91731,0.94966,0.94998,0.55875,1.19058,0.66748,0.9719,0.000742815,0.000742815,0.000742815
58,5947.88,1.07708,0.71019,1.00387,0.92223,0.94078,0.94775,0.55543,1.17979,0.65403,0.96346,0.000726312,0.000726312,0.000726312
59,6013.27,1.0599,0.73269,1.03096,0.90579,0.96426,0.9488,0.55208,1.16007,0.65312,0.95692,0.000709809,0.000709809,0.000709809
60,6075.87,1.05207,0.70316,0.99386,0.91598,0.94404,0.93561,0.55537,1.15905,0.65716,0.95466,0.000693305,0.000693305,0.000693305
61,6139.82,1.08949,0.6973,1.01646,0.93368,0.93447,0.93654,0.55345,1.1593,0.63621,0.95468,0.000676802,0.000676802,0.000676802
62,6203.95,1.02026,0.65739,0.99012,0.92379,0.93627,0.93092,0.5522,1.18509,0.62765,0.96308,0.000660299,0.000660299,0.000660299
63,6266.77,1.04831,0.6584,0.99142,0.92447,0.9301,0.92738,0.55212,1.19742,0.61956,0.96248,0.000643795,0.000643795,0.000643795
64,6329.54,1.06226,0.6903,1.00318,0.93068,0.94347,0.94163,0.56046,1.20501,0.621,0.96497,0.000627292,0.000627292,0.000627292
65,6394.11,1.04039,0.68151,0.99481,0.93038,0.95073,0.94117,0.56175,1.19136,0.61627,0.96567,0.000610789,0.000610789,0.000610789
66,6458.42,1.03853,0.68628,1.0006,0.9349,0.9529,0.9422,0.56187,1.20763,0.61419,0.97088,0.000594286,0.000594286,0.000594286
67,6521.98,1.02185,0.66157,0.99206,0.93666,0.95219,0.94496,0.5569,1.21723,0.61676,0.97186,0.000577782,0.000577782,0.000577782
68,6585.83,1.08139,0.68327,1.00963,0.94069,0.94378,0.93905,0.5692,1.19224,0.60832,0.95599,0.000561279,0.000561279,0.000561279
69,6649.59,1.05399,0.67331,1.01009,0.9291,0.95137,0.94127,0.56969,1.19833,0.61156,0.95154,0.000544776,0.000544776,0.000544776
70,6713.12,1.11327,0.70861,1.0362,0.94037,0.94836,0.94577,0.56818,1.18393,0.60756,0.94761,0.000528272,0.000528272,0.000528272
71,6775.51,1.06279,0.7069,0.99918,0.93935,0.95377,0.94583,0.56314,1.17987,0.60588,0.95246,0.000511769,0.000511769,0.000511769
72,6840.14,1.00951,0.66288,0.97904,0.94018,0.96814,0.95084,0.55946,1.18122,0.60835,0.95856,0.000495266,0.000495266,0.000495266
73,6903.02,1.0074,0.66573,0.98888,0.9465,0.96576,0.94693,0.56026,1.17632,0.60711,0.95505,0.000478762,0.000478762,0.000478762
74,6966.92,1.09607,0.68338,1.01777,0.94342,0.96441,0.94252,0.56019,1.16977,0.59309,0.95204,0.000462259,0.000462259,0.000462259
75,7030.92,1.04079,0.66787,0.9885,0.94696,0.96547,0.94185,0.56281,1.1686,0.58658,0.95222,0.000445756,0.000445756,0.000445756
76,7094.66,1.03445,0.65562,0.99532,0.94374,0.95705,0.95111,0.56878,1.18524,0.59304,0.96215,0.000429253,0.000429253,0.000429253
77,7158.08,1.02454,0.65896,0.98675,0.92753,0.9533,0.94764,0.56454,1.18112,0.59772,0.96229,0.000412749,0.000412749,0.000412749
78,7223.3,1.01164,0.65771,1.00189,0.94229,0.95932,0.95307,0.57174,1.16414,0.59789,0.95713,0.000396246,0.000396246,0.000396246
79,7288.48,0.98017,0.62762,0.95969,0.94727,0.96437,0.96183,0.57211,1.1649,0.60319,0.953,0.000379743,0.000379743,0.000379743
80,7353.49,1.00251,0.62395,0.98075,0.94471,0.95838,0.96197,0.56727,1.17524,0.60538,0.95583,0.000363239,0.000363239,0.000363239
81,7419.12,1.02632,0.64923,0.98378,0.93434,0.96037,0.95405,0.56597,1.18598,0.60696,0.96192,0.000346736,0.000346736,0.000346736
82,7483.94,1.06892,0.66439,1.00908,0.936,0.95533,0.9494,0.56257,1.19866,0.61563,0.96772,0.000330233,0.000330233,0.000330233
83,7548.55,1.01545,0.62231,0.97568,0.93621,0.95893,0.94801,0.56153,1.19884,0.62021,0.96724,0.000313729,0.000313729,0.000313729
84,7613.98,1.00145,0.63213,0.98256,0.95893,0.9516,0.95227,0.56084,1.16812,0.61247,0.95245,0.000297226,0.000297226,0.000297226
85,7678.25,1.03237,0.67413,1.00497,0.95561,0.95023,0.94579,0.56304,1.16358,0.61073,0.94947,0.000280723,0.000280723,0.000280723
86,7740.72,1.01425,0.63995,0.98686,0.94828,0.95036,0.94665,0.56352,1.15807,0.61055,0.94851,0.00026422,0.00026422,0.00026422
87,7804.47,1.0005,0.62969,0.97003,0.95164,0.95529,0.95199,0.56443,1.15103,0.60333,0.94823,0.000247716,0.000247716,0.000247716
88,7868.58,0.96983,0.62217,0.97331,0.94896,0.95161,0.94927,0.56826,1.14914,0.58778,0.94893,0.000231213,0.000231213,0.000231213
89,7933.16,1.0186,0.64973,0.99232,0.94652,0.95522,0.95085,0.56773,1.14656,0.58488,0.94889,0.00021471,0.00021471,0.00021471
90,7997.9,0.99677,0.64653,0.99125,0.94397,0.95134,0.9512,0.57033,1.13862,0.58339,0.94752,0.000198206,0.000198206,0.000198206
91,8061.36,0.98189,0.54446,0.93526,0.94348,0.95008,0.95417,0.57537,1.13,0.57887,0.94401,0.000181703,0.000181703,0.000181703
92,8124,0.92373,0.49966,0.89993,0.94268,0.95732,0.9584,0.58348,1.12381,0.57071,0.93928,0.0001652,0.0001652,0.0001652
93,8189.57,0.96769,0.51983,0.91892,0.94958,0.95179,0.96249,0.58364,1.12079,0.56611,0.93818,0.000148696,0.000148696,0.000148696
94,8252.59,0.93679,0.52372,0.91249,0.94942,0.95938,0.95922,0.58368,1.12246,0.56409,0.93864,0.000132193,0.000132193,0.000132193
95,8316.23,0.95253,0.51181,0.91866,0.95233,0.9596,0.95986,0.58414,1.12363,0.5622,0.93868,0.00011569,0.00011569,0.00011569
96,8379.89,0.91707,0.4932,0.90688,0.95514,0.96277,0.96748,0.58396,1.12298,0.5576,0.93725,9.91865e-05,9.91865e-05,9.91865e-05
97,8442.3,0.93038,0.50526,0.90364,0.95135,0.96312,0.96716,0.58443,1.1205,0.55566,0.93729,8.26832e-05,8.26832e-05,8.26832e-05
98,8503.94,0.94261,0.50454,0.9182,0.95108,0.96302,0.96723,0.58632,1.11901,0.55435,0.93764,6.61799e-05,6.61799e-05,6.61799e-05
99,8565.52,0.94963,0.51002,0.91347,0.95102,0.9625,0.96677,0.58678,1.11807,0.55452,0.93851,4.96766e-05,4.96766e-05,4.96766e-05
100,8628.18,0.97412,0.52151,0.93383,0.95037,0.961,0.96665,0.58712,1.11454,0.55316,0.939,3.31733e-05,3.31733e-05,3.31733e-05
